Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:54:28] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:15:42] 	2.580	+0.050	+2.0	407	2.570	2.580	354	2.600	2.560
[15:16:56] 	2.580	+0.050	+2.0	400	2.570	2.580	363	2.600	2.560
[15:19:08] 	2.570	+0.040	+1.6	257	2.560	2.570	281	2.600	2.560
[15:20:29] 	2.570	+0.040	+1.6	248	2.560	2.570	280	2.600	2.560
[15:21:54] 	2.560	+0.030	+1.2	249	2.560	2.570	253	2.600	2.560
[15:23:10] 	2.560	+0.030	+1.2	248	2.560	2.570	265	2.600	2.560
[15:24:14] 	2.570	+0.040	+1.6	247	2.560	2.570	267	2.600	2.560
[15:25:49] 	2.560	+0.030	+1.2	234	2.560	2.570	250	2.600	2.560
[15:26:52] 	2.560	+0.030	+1.2	234	2.560	2.570	284	2.600	2.560
[15:28:08] 	2.560	+0.030	+1.2	323	2.550	2.560	190	2.600	2.560
[15:29:29] 	2.550	+0.020	+0.8	228	2.550	2.560	277	2.600	2.550
[15:30:36] 	2.550	+0.020	+0.8	211	2.550	2.560	275	2.600	2.550
[15:31:54] 	2.550	+0.020	+0.8	208	2.550	2.560	294	2.600	2.550
[15:33:22] 	2.550	+0.020	+0.8	343	2.540	2.550	8	2.600	2.550
[15:34:30] 	2.550	+0.020	+0.8	62	2.550	2.560	355	2.600	2.550
[15:35:33] 	2.550	+0.020	+0.8	64	2.550	2.560	357	2.600	2.550
[15:37:40] 	2.550	+0.020	+0.8	69	2.550	2.560	359	2.600	2.550
[15:38:54] 	2.550	+0.020	+0.8	75	2.550	2.560	359	2.600	2.550
[15:40:10] 	2.550	+0.020	+0.8	141	2.550	2.560	361	2.600	2.550
[15:41:18] 	2.550	+0.020	+0.8	141	2.550	2.560	365	2.600	2.550
[15:42:22] 	2.550	+0.020	+0.8	179	2.550	2.560	365	2.600	2.550
[15:43:35] 	2.550	+0.020	+0.8	145	2.550	2.560	365	2.600	2.550
[15:44:59] 	2.550	+0.020	+0.8	151	2.550	2.560	365	2.600	2.550
[15:46:04] 	2.550	+0.020	+0.8	392	2.540	2.550	14	2.600	2.550
[15:47:07] 	2.550	+0.020	+0.8	3	2.550	2.560	359	2.600	2.550
[15:49:29] 	2.550	+0.020	+0.8	378	2.540	2.550	329	2.600	2.550
[15:50:51] 	2.540	+0.010	+0.4	331	2.540	2.550	322	2.600	2.540
[15:52:50] 	2.540	+0.010	+0.4	331	2.540	2.550	321	2.600	2.540
[15:56:04] 	2.540	+0.010	+0.4	629	2.530	2.540	171	2.600	2.540
[15:57:46] 	2.540	+0.010	+0.4	628	2.530	2.540	136	2.600	2.530
[15:58:50] 	2.540	+0.010	+0.4	638	2.530	2.540	15	2.600	2.530
[16:00:04] 	2.540	+0.010	+0.4	158	2.540	2.550	352	2.600	2.530
[16:01:17] 	2.540	+0.010	+0.4	162	2.540	2.550	352	2.600	2.530
[16:02:25] 	2.540	+0.010	+0.4	164	2.540	2.550	367	2.600	2.530
[16:03:42] 	2.540	+0.010	+0.4	206	2.540	2.550	367	2.600	2.530
[16:04:45] 	2.540	+0.010	+0.4	256	2.540	2.550	367	2.600	2.530
[16:07:22] 	2.540	+0.010	+0.4	186	2.540	2.550	345	2.600	2.530
[16:09:22] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
